name,nameOnUrl
Action,action
Adult,adult
Adventure,adventure
Anime,anime
Chuyển Sinh,chuyen-sinh
Comedy,comedy
Comic,comic
Cooking,cooking
Cổ Đại,co-dai
Doujinshi,doujinshi
Drama,drama
Đam Mỹ,dam-my
Ecchi,ecchi
Fantasy,fantasy
Gender Bender,gender-bender
Harem,harem
Historical,historical
Horror,horror
Josei,josei
Live action,live-action
Manga,manga
Manhua,manhua
Manhwa,manhwa
Martial Arts,martial-arts
Mature,mature
Mecha,mecha
Mystery,mystery
Ngôn Tình,ngon-tinh
One shot,one-shot
Psychological,psychological
Romance,romance
School Life,school-life
Sci-fi,sci-fi
Seinen,seinen
Shoujo,shoujo
Shoujo Ai,shoujo-ai
Shounen,shounen
Shounen Ai,shounen-ai
Slice of Life,slice-of-life
Smut,smut
Soft Yaoi,soft-yaoi
Soft Yuri,soft-yuri
Sports,sports
Supernatural,supernatural
Thiếu Nhi,thieu-nhi
Tragedy,tragedy
Trinh Thám,trinh-tham
Truyện scan,truyen-scan
Truyện Màu,truyen-mau
Webtoon,webtoon
Xuyên Không,xuyen-khong
